Title,imdbID,Date,Date1
Soylent Green,tt0070723,03-03-14
Metropolis,tt0017136
Silent Running,tt0067756,
Dark Star,tt0069945
Escape from New York,tt0082340
Cherry 2000,tt0092746
The Day the Earth Stood Still,tt0970416
Forbidden Planet,tt0049223
Quatermass and the Pit,tt0062168
Enemy Mine,tt0089092
Repo Man,tt0087995
Zardoz,tt0070948
The Fly,tt0091064
Rollerball,tt0073631
They Live,tt0096256
The Ninth Configuration,tt0081237
Saturn 3,tt0079285
Demon Seed,tt0075931
Voyage to the End of the Universe,tt0122111
The Year of the Sex Olympics,tt0142001
Ivan Vasilyevich Changes His Profession,tt0070233
Timecrimes,tt0480669
Battlefield Earth,tt0185183

The Thing,tt0084787
Under the Skin,tt1441395
Westworld,tt0070909
Futureworld,tt0074559
Dr. Goldfoot and the Bikini Machine,tt0059124
Barbarella,tt0062711
Snowpiercer,tt1706620
This Island Earth,tt0047577
Elysium,tt1535108
Mystery Science Theater 3000: The Movie,tt0117128
Journey to the Center of the Earth,tt0052948
The Black Hole,tt0078869
The Omega Man,tt0067525
Phase IV,tt0070531
Slaughterhouse-Five,tt0069280
A Boy and His Dog,tt0072730
Chappie,tt1823672
The Cabin in the Woods,tt1259521
Evil Brain from Outer Space,tt0058072
Ex Machina,tt0470752
The Man Who Fell to Earth,tt0074851
Safety Not Guaranteed,tt1862079
Cube,tt0123755

Iron Sky,tt1034314
Attack from Outer Space,tt12658910
Logan's Run,tt0074812
No Blade of Grass,tt0066154
The Blood of Heroes,tt0094764
Terminator Genisys,tt1340138
Edge of Tomorrow,tt1631867
The One I Love,tt2756032
Coherence,tt2866360
The Signal,tt2910814

Frequencies,tt2414766
The Last Starfighter,tt0087597
Death Race 2000,tt0072856
Real Steel,tt0433035
Solarbabies,tt0091981
Series 7: The Contenders,tt0251031
Robot Jox,tt0102800
Moebius,tt0117069


The Martian,tt3659388
The Lobster,tt3464902
World of Tomorrow,tt4171032
Europa Report,tt2051879
Assault Girls,tt1478800
Robot & Frank,tt1990314
The Andromeda Strain,tt0066769
Predestination,tt2397535,21-09-16

Ender's Game,tt1731141
Jupiter Ascending,tt1617661
Sexmission,tt0088083,18-10-16
Tetsuo: The Iron Man,tt0096251
The Lathe of Heaven,tt0081036

Quintet,tt0079770,01-11-16
The Happening,tt0949731
Dune,tt0087182
Terminator 2: Judgment Day,tt0103064
Blade Runner,tt0083658
2001: A Space Odyssey,tt0062622
A Scanner Darkly,tt0405296
Another Earth,tt1549572
Mr. Nobody,tt0485947,08-03-17
Arrival,tt2543164
Avalon,tt0267287
The Congress,tt1821641,22-03-17
Millennium,tt0097883,23-03-17

Brazil,tt0088846
Casshern,tt0405821
The Arrival,tt0115571,26-04-17
Chronicle,tt1706593
Cloud Atlas,tt1371111

WarGames,tt0086567,03-05-17
Johnny Mnemonic,tt0113481
Das Millionenspiel,tt0066079
High-Rise,tt0462335
Lifeforce,tt0089489,31-05-17


Night of the Comet,tt0087799

Splice,tt1017460
Split Second,tt0105459
The Lawnmower Man,tt0104692
The Sticky Fingers of Time,tt0127302
Time After Time,tt0080025

The Ice Pirates,tt0087451,05-07-17

12 Monkeys,tt0114746
A.I. Artificial Intelligence,tt0212720
Colossus: The Forbin Project,tt0064177


Sleeper,tt0070707,02-08-17,06-01-25

Cypher,tt0284978
Demolition Man,tt0106697
Embers,tt3503460,23-08-17

Equilibrium,tt0238380
Gattaca,tt0119177
Ghost in the Shell,tt1219827



Class of 1999,tt0099277,04-10-17,20-01-21


Prometheus,tt1446714


Blade Runner 2049,tt1856101,18-10-17

Rollerball,tt0246894
Short Circuit,tt0091949
The Animatrix,tt0328832
The Fountain,tt0414993
Split Second,tt0105459
The Lawnmower Man,tt0104692


Strange Days,tt0114558,10-01-18
Warning from Space,tt0049900
eXistenZ,tt0120907


O-Bi O-Ba: The End of Civilization,tt0089714,21-02-18
Akira,tt0094625
Starcrash,tt0079946,28-02-18

Alien,tt0078748
Dark City,tt0118929,14-03-18
Annihilation,tt2798920,21-03-18

Monsters,tt1470827
Passengers,tt1355644
Solaris,tt0069293
Bill & Ted's Excellent Adventure,tt0096928
District 9,tt1136608
Ghost in the Shell,tt0113568
Jurassic World,tt0369610
Stalker,tt0079944
Kung Fury,tt3472226,03-10-18



The Wandering Earth,tt7605074,20-08-20
Children of Men,tt0206634
Cloverfield,tt1060277
Inception,tt1375666
Interstellar,tt0816692
Hackers,tt0113243,24-02-21
RoboCop,tt0093870,02-03-21
Judge Dredd,tt0113492
Minority Report,tt0181689
Moon,tt1182345

2046,tt0212712,01-08-21
Source Code,tt0945513
Sunshine,tt0448134
The Fifth Element,tt0119116
The Running Man,tt0093894
The Terminator,tt0088247
La Jetée,tt0056119,31-05-22
Diamantino,tt6522668,22-06-22
The Truman Show,tt0120382
Total Recall,tt0100802
Brian and Charles,tt13270424
Crimes of the Future,tt14549466
Dredd,tt1343727
Fried Barry,tt9102084
Minor Premise,tt12680508
Synchronic,tt9016974
Moonfall,tt5834426
Slash/Back,tt9050310
Asteroid City,tt14230388,29-06-23
The Core,tt0298814
The Vast of Night,tt6803046
The Platform,tt8228288,19-10-23
Tomorrowland,tt1964418,28-12-23
These Final Hours,tt2268458,03-02-24

Dune: Part One,tt1160419,29-02-24
Dune: Part Two,tt15239678,07-03-24

Dreamscape,tt0087175,30-09-24
Timescape,tt9672824,07-10-24
The Infinite Man,tt2553424,14-10-24
Love,tt1541874,21-10-24
Jubilee,tt0076240,28-10-24
I Origins,tt2884206,18-11-24
Future War,tt0113135,25-11-24
Lapsis,tt11540272,02-12-24
The Matrix,tt0133093,30-12-24

Valerian and the City of a Thousand Planets,tt2239822,20-01-25
Aliens,tt0090605,21-01-25
Altered States,tt0080360,26-01-25
Earth Girls Are Easy,tt0097257,27-01-25
The Man from Earth,tt0756683,28-01-25
Alita: Battle Angel,tt0437086,29-01-25
Threads,tt0090163,03-02-25
Predator,tt0093773,17-02-25
Time Trap,tt4815122,24-02-25
River,tt27695005,03-03-25
Slipstream,tt0098350,11-03-25
RoboCop 2,tt0100502,17-03-25
Starship Troopers,tt0120201,22-03-25
Mickey 17,tt12299608,01-04-25
Inseminoid,tt0084090,14-04-25
Battle Beyond the Stars,tt0080421,02-05-25
RoboCop 3,tt0107978,03-05-25
Streets of Fire,tt0088194,12-05-25
Videodrome,tt0086541,19-05-25
The Similars,tt3949658,12-06-25
The Island of Dr. Moreau,tt0076210,14-06-25
The Faculty,tt0133751,26-06-25
The Philadelphia Experiment,tt0087910,10-07-25
Buckaroo Banzai,tt0086856,17-07-25
The Abyss,tt0096754,28-08-25
Punishment Park,tt0067633,24-09-25
Spaceballs,tt0094012,09-10-25
Arena,tt0101366,07-11-25
Prey,tt11866324,15-11-25
Back to the future,tt0088763,20-11-25
